id,name,host_id,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,y
2515,301★New ryokan/Sensoji Temple 7-min/private bth/wf,195509368,Taito Ku,35.718790000000006,139.79995,Private room,1,59,2020-02-06,3.66,149,5736
2516,大江戸線 西新宿五丁目Station 3 mins / 27㎡ / pocket wifi #3,318380488,Shinjuku Ku,35.69142,139.68524,Entire home/apt,2,162,2020-04-12,2.88,208,8011
2517,【C2】Shinjuku Sta./Shibuya Ikebukuro in 10min/,229165904,Shinjuku Ku,35.6993,139.70703,Entire home/apt,1,36,2020-03-18,2.09,236,40011
2518,130㎡ Massive Pad — Tokyo's Best Area?,8142772,Shibuya Ku,35.674409999999995,139.70842,Entire home/apt,2,36,2020-02-17,1.88,29,19882
2519,Little Forest  新房源  上野/浅草/秋叶原/新宿  浅草天空树步行圈  独享整个房源,198552582,Taito Ku,35.721509999999995,139.78797,Shared room,1,11,2020-02-06,1.67,110,8747
2520,nice hostel kameari 30min to GINZA by train,143824798,Katsushika Ku,35.76624,139.84713,Private room,1,11,2020-01-08,0.83,345,4956
2521,NEW Easy access to Shinjuku 2min/Free Wi-Fi/MAX 4,69954492,Shibuya Ku,35.679840000000006,139.68353000000002,Entire home/apt,2,24,2020-04-05,2.26,334,100003
2522,新大久保车站步行7分/新宿便利精致公寓2套/适合4-5人/免费wifi/玩转东京/吃喝便利!,28837813,Shinjuku Ku,35.70397,139.70366,Entire home/apt,2,3,2020-02-24,0.74,175,17785
2523,[4-minute walk from Mitsukoshi-mae Station] Free Wi-Fi! 4 Capsule rooms for women only,255338506,Chuo Ku,35.68785,139.7767,Shared room,1,0,,,0,12683
2524,【新房特价】直达浅草上野银座/车站3分钟/机场直达/设计师设计摩登和风榻榻米房(Y104),158508230,Edogawa Ku,35.7406,139.88776,Entire home/apt,1,6,2020-02-09,0.48,149,5006
2525,Center of Shibuya! 5 mins to Shibuya cross S201,105077504,Shibuya Ku,35.65943,139.6942,Entire home/apt,1,46,2020-04-01,2.73,242,10151
2526,"【涉谷3分钟,六本木3分钟】新宿池袋秋叶原银座直达/地铁站6分钟/全新现代和风(H402)",176014678,Shibuya Ku,35.64768,139.71799,Entire home/apt,1,0,,,0,300098
2527,GS101/ShinJuku(shinookubo)*Free Wi-Fi*,25842294,Shinjuku Ku,35.70433,139.69917,Entire home/apt,1,0,,,354,15107
2528,【期間限定4/30まで50%割引!】 Pebliss 煌･壱 池袋2分 新宿3丁目14分 渋谷22分,195367617,Itabashi Ku,35.73722,139.70247,Entire home/apt,1,20,2019-12-31,1.49,26,18057
2529,"【新房特价】山手线日暮里站步行5分,新宿池袋银座涉谷上野秋叶原直达,成田机场直达(R502)",158508230,Arakawa Ku,35.72851,139.77976,Entire home/apt,1,0,,,180,8008
2530,402/MAX 5guests/Ryogoku/Asakusa/Skytree/PocketWiFi,150236405,Sumida Ku,35.70089,139.79828,Entire home/apt,1,120,2020-04-06,6.02,144,16083
2531,東京下町生活,191971770,Taito Ku,35.72229,139.77858999999998,Entire home/apt,1,253,2020-03-16,3.54,303,19199
2532,GLOBAL TOKYO CAPSULE HOTEL(Female)*SHINJUKU*,208834144,Shinjuku Ku,35.698840000000004,139.69968,Private room,1,0,,,13,2574
2533,Higashi-shinjuku cozy apartment,196353318,Shinjuku Ku,35.699290000000005,139.71059,Entire home/apt,1,2,2020-02-02,0.54,24,8181
2534,Great Location#Ryogoku station 1min#Max4#Free Wifi,59104733,Sumida Ku,35.69507,139.79381,Entire home/apt,1,2,2019-05-04,0.15,364,14901
2535,58★Big Terminal Ikebukuro cozy apartment hotel,228327679,Toshima Ku,35.73404,139.70676,Entire home/apt,1,3,2019-12-31,0.27,132,6964
2536,Uhome Akihabara Hotel 6F,289325361,Chiyoda Ku,35.69456,139.7772,Hotel room,1,11,2020-02-07,0.96,0,900044
2537,Double Bed!Private room,4626879,Taito Ku,35.70582,139.79186,Private room,1,42,2020-02-26,1.87,87,7581
2538,Room301‐ｽｶｲﾂﾘｰまで徒歩8分､浅草徒歩圏､成空港直通､3路線利用可,103641032,Sumida Ku,35.71076,139.82021,Private room,1,0,,,159,4854
2539,"M8 Near Tokyo Stn, Morishita 1min",198744417,Koto Ku,35.686820000000004,139.79859,Entire home/apt,1,53,2020-01-05,3.23,352,9957
2540,Ana's apartment 2min walk to Higashi Shinjuku B04,260128948,Shinjuku Ku,35.702,139.70636000000002,Entire home/apt,1,0,,,156,17642
2541,"FA三軒茶屋･世田谷区上馬 · 世田谷三軒茶屋駅,駒沢公園, 駒沢大学駅.Komazawa Sta,Sangenchaya Sta,",26386727,Setagaya Ku,35.63792,139.66195,Entire home/apt,3,1,2020-01-12,0.28,335,17948
2542,★NEW/Not share room★ Cozy area/near ASAKUSA/MAX6 p,205906665,Taito Ku,35.71628,139.78725,Entire home/apt,2,14,2020-02-24,2.13,135,9754
2543,"Oshiage, Tokyo Newly Built Free Lockers Max 4 PPL",47864636,Sumida Ku,35.71111,139.81773,Entire home/apt,1,0,,,333,11802
2544,Month 6min Akabane stiation/max 5 guests #301,103330095,Kita Ku,35.77283,139.71974,Entire home/apt,28,0,,,242,9905
2545,"尹府B栋-东京池袋站步行8分钟,要町步行5分钟｡全新别墅3室一厅｡购物出行超便利｡",10986553,Toshima Ku,35.73503,139.70391999999998,Entire home/apt,2,8,2020-01-03,0.54,365,34819
2546,❤Shibuya&shinjuku❤3 mins to station with FREE-WIFI,224754595,Shibuya Ku,35.689809999999994,139.68305,Entire home/apt,1,0,,,165,19819
2547,Nishi-Ogikubo 1BR Type-B2 (SSH-B2) 7F,232851095,Suginami Ku,35.703990000000005,139.59775,Entire home/apt,6,25,2019-12-31,0.89,214,13023
2548,HOYO東京Ikebukuro#206+Free PocketWiFi/10min from sta,318022002,Toshima Ku,35.73587,139.71278999999998,Entire home/apt,2,25,2020-03-16,1.17,218,10293
2549,A1  JR各線池袋站6分钟两双床便利公寓,277300958,Toshima Ku,35.735820000000004,139.71251999999998,Entire home/apt,1,0,,,91,6495
2550,HIDE TERACE ｾﾐﾀﾞﾌﾞﾙ個室3,100972932,Arakawa Ku,35.73218,139.79237,Private room,1,5,2019-12-23,0.83,90,3816
2551,"New Open201room
高级住宅区里的人气馨屋新开张!六分钟到车站,机场直达!201室",197268556,Edogawa Ku,35.730540000000005,139.88395,Private room,1,4,2020-01-01,0.3,0,4993
2552,Only 5min to Station♪Private Room☆G3-6,207693509,Adachi Ku,35.76268,139.77427,Private room,30,6,2020-03-11,0.28,83,1151
2553,JR Akihabara-sta 5 min Max11 ppl 3F,139017121,Chiyoda Ku,35.70073,139.77653,Entire home/apt,1,17,2020-03-26,2.8,111,21005
2554,49 Shinjuku Area!subway 6 mins ! /3 bedrooms,193171483,Nakano Ku,35.68788,139.66916,Entire home/apt,1,11,2020-02-10,1.36,141,25988
2555,D's Stay3A  New open Stylish House.,80017407,Shibuya Ku,35.6822,139.67907,Entire home/apt,3,23,2020-03-19,2.78,331,39960
2556,东京池袋北口徒步7分钟高档别墅可以入住8位以上客人小院里免费停车  直达新宿涉谷秋葉原上野等都很方便,99562499,Toshima Ku,35.73643,139.71116,Entire home/apt,2,30,2020-01-05,2.25,343,36700
2557,HOYO東京Akasaka#802/3min frm Akasaka sta+WiFi,303026256,Minato Ku,35.67388,139.73644,Entire home/apt,2,18,2020-04-04,1.86,243,8317
2558,15 min Tokyo Sky Tree! Spacious modern apt  8 ppl,163538128,Katsushika Ku,35.737840000000006,139.83619,Entire home/apt,2,11,2020-03-11,3.06,324,100024
2559,Explore Asakusa Akihabara! WiFi,238887942,Taito Ku,35.69959,139.78525,Entire home/apt,2,28,2020-01-01,1.13,87,5578
2560,"Ueno 2 mins, max for 11 ppl, cozy house-free wifi",14222549,Taito Ku,35.72627,139.78292,Entire home/apt,2,24,2020-02-21,2.27,0,24968
2561,DJﾎｽﾃﾙ銀座 男女共用のﾄﾞﾐﾄﾘｰﾍﾞｯﾄ22台のうち22台利用 22名様利用6階貸切ﾌﾟﾗﾝ,43142259,Chuo Ku,35.67382,139.77557,Shared room,1,0,,,329,65971
2562,Stylish Modern /5min-Shibuya/13min-Harajuku/Wi-Fi,280285520,Setagaya Ku,35.641740000000006,139.66468999999998,Entire home/apt,1,35,2020-01-01,2.04,201,7492
2563,#B☆2min to Central shibuya☆ - Free pocket WiFi,75820284,Shibuya Ku,35.65654,139.69301000000002,Entire home/apt,2,42,2019-10-01,2.55,91,14860
2564,Easy Access to Skytree Studio Bell Flat Inn #4,202650064,Sumida Ku,35.73194,139.82506999999998,Entire home/apt,1,0,,,246,8958
2565,Spacious House for Big group! Free Wifi!  i3,105077504,Shibuya Ku,35.67326,139.71206,Private room,1,54,2020-03-02,3.18,311,17931
2566,3MINS WALK TO HIGASHI-SHINJUKU STA/3BRs/MAX9BEDS,2610437,Shinjuku Ku,35.69616,139.70723999999998,Entire home/apt,1,2,2020-03-19,0.87,357,30011
2567,*Designer Apt in Quiet yet Central Tokyo Area,311306656,Suginami Ku,35.67276,139.65976,Entire home/apt,1,17,2020-03-25,1.33,344,4917
2568,Calm House near Shinjuku/Shibuya #102,264883119,Shibuya Ku,35.67949,139.67874,Entire home/apt,2,208,2019-11-29,4.43,150,12095
2569,★Traditional Japanese room★ Shinjuku Shibuya    31,6728807,Shibuya Ku,35.67951,139.68629,Entire home/apt,1,91,2020-02-08,2.33,0,8858
2570,立地最高!駅近･買い物便利!改装したばかりの綺麗な和室です｡105,35183712,Shinjuku Ku,35.70024,139.70367,Private room,2,24,2020-01-25,2.22,41,8079
2571,AkihabaraHighQuality Villa! 10 subway lines,222160638,Chiyoda Ku,35.69429,139.77438999999998,Entire home/apt,1,0,,,180,49961
2572,Free Wifi!Near Shinjuku&Nakano 6ppl stay #YM03,213268617,Suginami Ku,35.709540000000004,139.61123999999998,Entire home/apt,1,22,2020-01-18,1.8,91,49927
2573,Classy House Shinjuku 5F ☆Modern in Kagurazaka♪♪,35828905,Shinjuku Ku,35.705870000000004,139.73154,Entire home/apt,2,27,2020-01-29,2.6,81,44756
2574,wakka is cozy and hospitality home,210049137,Toshima Ku,35.73496,139.74931,Entire home/apt,3,12,2020-01-26,0.9,78,12075
2575,Near Shinjuku&Waseda 4ppl stay bb02,213268617,Shinjuku Ku,35.70362,139.72208999999998,Entire home/apt,1,8,2020-02-18,1.53,169,10222
2576,【NEW SALE!!】Asakusa Japanese style room#101,230434710,Sumida Ku,35.70539,139.79703999999998,Private room,1,2,2018-04-19,0.08,231,4121
2577,"Shinjyuku T & J Independent house ROOM no,1",95339783,Shinjuku Ku,35.69462,139.71497,Private room,3,9,2020-01-02,0.78,83,6027
2578,IMPREST STAY#1B NEW OPEN!京急蒲田徒歩8分★西海岸ｳﾞｨﾝﾃｰｼﾞ【最大6名様,269684336,Ota Ku,35.55573,139.73056,Entire home/apt,2,2,2020-03-28,1.58,27,19988
2579,"Traditional Japanese  villa ""Soul of Japan"" ",78981665,Toshima Ku,35.73492,139.70592,Entire home/apt,2,6,2020-04-02,0.91,180,20000
2580,"New Designer room! Near Shinjuku, Shibuya, Ginza!!",80821602,Nakano Ku,35.70309,139.66936,Entire home/apt,1,129,2020-03-16,2.64,70,11175
2581,台東区/浅草橋駅近く/男女共用ﾄﾞﾐﾄﾘｰﾎｽﾃﾙ/最大10名宿泊可能/貸切利用も相談可,239711413,Taito Ku,35.69849,139.78466,Shared room,1,0,,,149,2550
2582,Yumi home & EoS G,52047464,Shinjuku Ku,35.70245,139.69572,Entire home/apt,1,0,,,180,18167
2583,SSR404) Shinjuku(Kagurazaka) *FREE WIFI*,203690845,Shinjuku Ku,35.69869,139.73344,Private room,1,17,2019-10-04,1.09,1,9510
2584,A#202 near Shinjuku *6min. from sta.* FreeWifi 初台駅,182388076,Shibuya Ku,35.68379,139.68244,Entire home/apt,2,44,2020-01-10,2.17,88,9040
2585,◇Free WIFI◇Shinjuku 8min!Luxury apt/#805,145932895,Shinjuku Ku,35.69677,139.70573000000002,Entire home/apt,2,35,2020-03-20,2.42,328,7985
2586,▼Opening Sale▼1min to JROkubo/Many foods/Big room1,60606373,Shinjuku Ku,35.70088,139.69643,Entire home/apt,2,30,2020-03-07,1.88,85,24945
2587,4mins to Ueno/5mins to Station/freewifi/*SL401,286925159,Taito Ku,35.7269,139.79234,Entire home/apt,1,25,2020-02-18,3.77,133,50215
2588,"Tokyo Haneda Airport, Universal Haneda,Double Room",219802340,Ota Ku,35.55959,139.7377,Entire home/apt,2,9,2019-10-08,0.5,333,22996
2589,Central of TOKYO!! Close to train Sta 2-2h,226640813,Chuo Ku,35.67313,139.77623,Entire home/apt,1,1,2020-01-25,0.31,365,100009
2590,(T) Accessible to Shibuya&Shimokita No.202,49474412,Setagaya Ku,35.65614,139.67600000000002,Entire home/apt,30,5,2020-04-14,0.76,339,4516
2591,"Cozy Urban Flat N.Shinjuku, 7mins walk to station",217141872,Shinjuku Ku,35.69634,139.69111999999998,Entire home/apt,2,41,2020-04-13,1.18,245,8356
2592,The center of Shinjuku! Very convenient room!,335767395,Shinjuku Ku,35.6888,139.70938,Entire home/apt,1,0,,,63,9941
2593,7 Min Sta. Cozy&Warm House  in Tokyo Shinjuku R102,213487134,Shinjuku Ku,35.70341,139.70385,Entire home/apt,1,0,,,0,9888
2594,43★Vibrant & Modern in Shinjuku★Wifi & Chromecast,41516927,Shinjuku Ku,35.69218,139.70933,Entire home/apt,30,21,2020-03-15,2.3,338,3021
2595,EasytoHanede&Narita/Skytree/Asakusa#4min stn#Max4,234243846,Katsushika Ku,35.74918,139.86609,Entire home/apt,2,33,2020-03-09,1.7,168,5979
2596,Tokyo Sakura Cube 201 -  2BR 65㎡ Kotatsu Table,22799972,Katsushika Ku,35.76206,139.83386000000002,Entire home/apt,2,9,2020-03-11,2.35,0,6934
2597,New Open! Private room Near Haneda Airport #D,278141586,Ota Ku,35.54936,139.75024,Hotel room,1,3,2019-11-20,0.2,0,6956
2598,New民家ｹﾞｽﾄﾊｳｽ(HINOMARU),6018145,Bunkyo Ku,35.70476,139.75534,Private room,1,24,2020-03-21,2.57,352,6012
2599,☆2019 NEW OPEN☆5PAX BEST large room☆sakura room.7,120667824,Shinjuku Ku,35.68354,139.71746000000002,Private room,1,9,2020-03-17,2.11,180,5738
2600,NEW OPEN新宿/东新宿305,22781227,Shinjuku Ku,35.70097,139.70641,Entire home/apt,1,4,2020-02-21,1.09,175,9994
2601,☆☆KOUENJI 5min / SHINJUKU 10min Free WiFi ☆☆,318320103,Suginami Ku,35.70361,139.6545,Entire home/apt,1,94,2020-03-16,1.62,263,7795
2602,"3 beds use in a shared mix dormitory, obi Hostel",160644380,Chuo Ku,35.69183,139.78156,Hotel room,1,18,2020-01-21,0.82,147,10149
2603,Akihabara Homestay [ UENO･AKIHABARA･ASAKUSA],289319222,Taito Ku,35.704370000000004,139.77928,Entire home/apt,1,25,2020-02-09,1.36,216,25683
2604,Dormitory Room male Only(男性用ﾄﾞﾐﾄﾘｰ･禁煙),204726226,Chiyoda Ku,35.69825,139.77705,Hotel room,1,0,,,0,3565
2605,"1 bed use in a shared mix dormitory, obi Hostel",160644380,Chuo Ku,35.69099,139.78256000000002,Hotel room,1,34,2020-03-27,1.65,332,3372
2606,"东京精品民宿8,近新宿､渋谷､池袋､銀座､秋葉原､上野",114995297,Toshima Ku,35.73717,139.73416,Entire home/apt,1,6,2020-01-01,0.51,91,18352
2607,Brand New!DoMo S405 5min walk to ShinOkubo Station,138109993,Shinjuku Ku,35.70004,139.69961,Entire home/apt,1,38,2020-03-26,2.03,186,17112
2608,New! near Sensoji Temple Free WiFi,151987255,Taito Ku,35.71649,139.79907,Entire home/apt,2,193,2020-02-17,3.88,175,7948
2609,【Monthly/Bike/WIFI】Woody and chic apt in Ikebukuro,259697958,Toshima Ku,35.72588,139.7106,Entire home/apt,30,3,2020-02-05,0.32,228,19846
2610,"新宿市中心公寓紧邻商业区直达原宿,涉谷等免费Wi-Fi｡",55852804,Shinjuku Ku,35.69587,139.70609,Entire home/apt,1,9,2020-02-23,1.65,230,9613
2611,MonthHOYO東京Akasaka#601/3min from Akasaka sta+wifi,303026256,Minato Ku,35.67362,139.73646000000002,Entire home/apt,23,5,2020-03-31,0.35,0,6486
2612,"【Rs, Hikifune】3人可带阁楼✦羽田可直达Skystree附近独立公寓101✦",291745199,Sumida Ku,35.7207,139.82281,Entire home/apt,1,1,2020-01-28,0.33,245,7463
2613,302★New ryokan/Sensoji Temple 7-min/private bth/wf,195509368,Taito Ku,35.718990000000005,139.80153,Private room,1,50,2020-02-08,3.12,157,5805
2614,CentralTokyo M602 CozyPlace/Shinjuku/4min/freewifi,218932367,Shinjuku Ku,35.6883,139.72402,Entire home/apt,1,11,2020-02-01,1.08,172,40411
2615,NEW! #501 (Private)4min to Sta. 14min Tokyo Sta.,207915193,Koto Ku,35.67248,139.79145,Private room,1,45,2020-04-09,3.88,330,6539
2616,T-ROOMSⅢ  near Ginza & Tsukiji,130659509,Chuo Ku,35.67637,139.78073,Private room,30,15,2020-03-02,0.57,179,6641
2617,Accessible to Shibuya & Shimokita No. 101,49474412,Setagaya Ku,35.65575,139.67439,Entire home/apt,5,1,2020-02-18,0.42,0,5535
2618,HOYO東京Ikebukuro#108/10min from sta,212422444,Toshima Ku,35.73722,139.71354,Entire home/apt,2,14,2020-02-29,1.17,236,5616
2619,2min Sta.NearShinjuku good location/FreeWi-Fi/1001,218500469,Shinjuku Ku,35.69825,139.70588999999998,Entire home/apt,2,28,2020-03-30,3.07,325,15226
2620,★Asakusa area★Station8minute walk  SemiDouble,177441756,Taito Ku,35.72675,139.79859,Hotel room,1,1,2020-02-14,0.4,0,4883
2621,"Girl's dream room w/Cats! Shibuya, Sangenjaya area",198707164,Setagaya Ku,35.64917,139.65628999999998,Private room,3,40,2020-03-28,1.4,180,6903
2622,A quiet residence close to Tokyo SKYTREE & ASAKUSA,33495103,Sumida Ku,35.71458,139.81781,Entire home/apt,3,52,2020-01-26,2.22,90,3695
2623,3min to Sta! 5min from Ikebukuro! Relaxing apt#203,218500469,Toshima Ku,35.73077,139.68133999999998,Entire home/apt,2,35,2020-03-29,4.38,333,4880
2624,A newly built property 4 minutes from station. 201,57359337,Taito Ku,35.70486,139.78152,Entire home/apt,2,27,2020-04-04,3.93,361,4383
2625,Spacious 6bedrm Home+garden ★ Big Family or Group,230897027,Shinagawa Ku,35.631609999999995,139.72742,Entire home/apt,2,50,2020-02-29,1.46,140,11035
2626,39★Big Terminal Ikebukuro cozy apartment hotel,228327679,Toshima Ku,35.73427,139.70807,Entire home/apt,1,8,2020-03-16,1.1,130,5940
2627,Nestle Tokyo Deluxe Akihabara 05,156367707,Chiyoda Ku,35.697,139.78112,Entire home/apt,1,2,2019-10-23,0.3,196,34986
2628,Poket Wi-Fi 501 GK,185070044,Sumida Ku,35.6933,139.81323,Private room,2,22,2020-03-21,0.86,184,3992
2629,★Free Wi-Fi★7min walking to Ginza!  2-3h,226640813,Chuo Ku,35.67129,139.77576000000002,Entire home/apt,1,3,2019-10-30,0.42,365,99956
2630,4min to sta! Direct to Ikebukuro & Shinjuku!,268464022,Nerima Ku,35.73757,139.65778999999998,Entire home/apt,1,45,2020-02-13,1.97,270,13064
2631,8min wlk to Shibuya! For familes  groups!,221304985,Shibuya Ku,35.65162,139.70688,Entire home/apt,1,4,2020-03-12,0.76,179,8019
2632,Asakusa Guest House/Entire Mixed Dormitory 8Bed#2,327666588,Taito Ku,35.72305,139.79393000000002,Private room,1,0,,,0,15165
2633,Tokyo Spa Premier Shinjuku,252666139,Shinjuku Ku,35.70024,139.70361,Entire home/apt,1,2,2020-02-26,0.68,60,28360
2634,JR YAMANOTE Line Ueno/Shinjuku Directly! MAX 4ppl,261336555,Arakawa Ku,35.735859999999995,139.76722,Entire home/apt,1,2,2020-02-14,0.53,309,99965
2635,Simple and modern style room newly opened in 2019,961324,Taito Ku,35.71951,139.80211,Private room,3,41,2020-02-21,3.16,0,4678
2636,房间已消毒+(日式生活)车站徒步3分/高速WiFi ·附近有超市 东京中心高级酒店公寓/机场大巴直达,84467266,Minato Ku,35.67624,139.73463999999998,Entire home/apt,2,0,,,242,49997
2637,匯家KAIKE 押上浅草步行8分可达天空树 4分到押上站 榻榻米全新装修 轻松可达机场 202,260536243,Sumida Ku,35.70993,139.8132,Private room,1,0,,,179,14296
2638,SANITIZED★OtsukaSta2min/accessible/SAKURAHOUSE#301,229610616,Toshima Ku,35.730340000000005,139.72807,Private room,2,68,2020-02-29,1.2,176,6701
2639,1min to ASAKUSA : Great location + FreeWIFI #602,28030967,Taito Ku,35.703540000000004,139.79055,Entire home/apt,2,33,2020-03-20,2.32,349,99959
2640,1min to ASAKUSA : Great location + FreeWIFI#706,49218145,Taito Ku,35.70257,139.79211,Entire home/apt,2,8,2020-01-01,0.83,319,100160
2641,2 Unique ground floor apartments with lofts,311306656,Suginami Ku,35.6739,139.66088,Entire home/apt,1,9,2019-07-20,0.6,336,4466
2642,Opening Campaign! Brand new Double Room,203426617,Setagaya Ku,35.66045,139.66877,Private room,1,2,2019-05-12,0.17,278,16108
2643,"SH15 Train station 8-min walk,house in SHINJUKU-KU",147605429,Shinjuku Ku,35.70172,139.70658999999998,Private room,1,3,2020-02-03,0.45,54,6055
2644,新装修房!东京三大商业区Ikebukuro 池袋站东口步行5分钟电梯套房 有家的感觉的公寓房间,194809734,Toshima Ku,35.73256,139.71536,Entire home/apt,30,40,2020-03-04,1.31,181,6722
2645,世界各国からのお客様が集まるｹﾞｽﾄﾊｳｽです｡,54037182,Itabashi Ku,35.75519,139.69824,Shared room,1,0,,,2,34421
2646,Cosy  room nr. Jiyugaoka/Den-en-chofu,234898353,Setagaya Ku,35.59822,139.67414,Private room,2,8,2019-02-17,0.14,102,9806
2647,(Website hidden by Airbnb) min Sta./Cozy room/PocketWiFi#401,97872282,Taito Ku,35.72382,139.7898,Entire home/apt,2,12,2020-03-23,2.83,352,2311
2648,Near Ueno/Asakusa#6min to Subway#40min airport,41764578,Bunkyo Ku,35.72988,139.7616,Entire home/apt,1,5,2020-03-18,1.4,34,14101
2649,R103# Walk 3 mins to Keisei Koiwa Station.,219973669,Edogawa Ku,35.74075,139.8867,Entire home/apt,1,8,2019-11-28,0.52,159,3031
2650,"Shibuya Sta14min,PocketWi-Fi!渋谷駅徒歩14分日当たり良好の明るいお部屋",311085548,Shibuya Ku,35.65659,139.69113000000002,Entire home/apt,2,60,2020-02-09,2.07,126,15152
2651,"NN81-Good access Akihabara, Asakusa Tokyo",51517847,Taito Ku,35.70552,139.78726,Entire home/apt,4,4,2020-03-09,0.95,90,13144
2652,Asakusa  Luxury Private house 10PAX Ueno Akihabara,43680640,Taito Ku,35.724709999999995,139.79613,Entire home/apt,1,21,2019-12-09,1.33,91,12433
2653,"kk32: 高円寺徒歩3分!新宿まで2駅､長期滞在OK,最大3人!!",60901397,Suginami Ku,35.70285,139.64902,Entire home/apt,1,24,2020-02-24,2.2,73,7519
2654,"COD: 8min from Shinjuku St, new hotel for 2 people",203426327,Shinjuku Ku,35.695159999999994,139.69824,Hotel room,1,3,2019-07-30,0.3,58,15324
2655,Asakusa Area. 浅草､雷門201,315182501,Taito Ku,35.710770000000004,139.78972,Entire home/apt,3,14,2020-02-04,1.01,64,6181
2656,1F    Asakusa Sta.   4 min . Senshouji  8 min,16188418,Taito Ku,35.7179,139.79175,Entire home/apt,2,0,,,0,24248
2657,上野池之端､根津駅直ぐ Taito Cityのまるまる貸し切り ｡一時避難､ﾃﾚﾜｰｸにWi-Fi｡,279026719,Taito Ku,35.71679,139.77042,Entire home/apt,1,8,2020-03-27,2.5,83,6009
2658,【Walking distance to Tsukiji and Ginza】 Air conditioning · Free Wi-Fi available! 【Deluxe Single Room】,58658461,Chuo Ku,35.66983,139.77481,Private room,1,7,2020-01-24,0.36,143,20017
2659,4min Ikebukuro Bus|9min Kita-Ikebukuro|2LDK|SK1103,292113483,Toshima Ku,35.73744,139.71989,Entire home/apt,1,1,2020-03-31,1.0,150,12155
2660,"New modern cozy room Central TKY, free WIFI",58103809,Toshima Ku,35.73666,139.68231,Entire home/apt,5,6,2020-03-27,1.27,180,200004
2661,IMPREST STAY#2A 京急蒲田駅徒歩8分!糀谷駅徒歩4分!北欧ｶﾌｪ風【最大8名】,269684336,Ota Ku,35.55598,139.73032,Entire home/apt,2,1,2020-03-16,0.67,58,20107
2662,"#402/JR Metro Kinshicho Sta/Near Sky Tree,Asakusa",141622656,Sumida Ku,35.69804,139.8185,Entire home/apt,1,81,2020-03-08,3.64,283,6368
2663,"New building,9 min Otsuka station, 5 ppl,free WIFI",176199828,Toshima Ku,35.737120000000004,139.72511,Entire home/apt,1,26,2020-01-31,2.3,179,13897
2664,Shinjuku comfortable apartment! For max 9 guests!,153913121,Shinjuku Ku,35.69709,139.70743000000002,Entire home/apt,1,2,2020-03-06,0.5,154,13968
2665,【301】ODAIBA! TENOZU ISLE STN 8MIN! MAX 4PP! 2DK27㎡,45326126,Shinagawa Ku,35.62226,139.74537,Entire home/apt,1,32,2020-03-01,1.57,24,11951
2666,Designer's Flat - Shibuya YOYOGI park 10mins #1,200748114,Shibuya Ku,35.66339,139.68741,Entire home/apt,2,212,2020-02-11,3.43,0,34901
2667,Big1Floor 3 BR 3Bath 3toilet 2min Shinjuku Shibuya,6648611,Shibuya Ku,35.68251,139.68442,Entire home/apt,2,67,2020-03-15,3.98,255,36913
2668,Room 103#Traditional tatami room /24H hot water,219973669,Itabashi Ku,35.76192,139.69933999999998,Entire home/apt,1,21,2020-02-19,1.46,178,5945
2669,#2 Double Bed room/1min from Train St!,60152555,Meguro Ku,35.6442,139.69888,Private room,1,34,2020-01-31,1.48,31,10484
2670,"6minstoMinowaSta#Ueno,Asakusa#Max3#Free WiFi#27㎡",248725806,Taito Ku,35.7237,139.79197,Entire home/apt,1,0,,,95,10607
2671,"Uhome Tabata Apartment 201, 4mn by train to Ueno",165921683,Bunkyo Ku,35.73151,139.75621,Entire home/apt,1,55,2020-04-05,4.87,213,89989
2672,Japanese-Style Twin Room with Shared Bathroom,20957992,Taito Ku,35.72704,139.80109,Private room,1,8,2019-11-17,0.48,332,6712
2673,★New‐built★Skytree/Asakusa/Shibuya/Ginza/23,274658784,Sumida Ku,35.72166,139.82356,Entire home/apt,1,0,,,63,9879
2674,NEW! 101㎡ 10ppl HUGE hamaca HOUSE,103535605,Koto Ku,35.69513,139.82759,Entire home/apt,3,15,2020-04-05,2.53,94,49965
2675,浅草中心から徒歩10分!_Free wifi!_個室ﾀﾞﾌﾞﾙﾙｰﾑ,144349329,Taito Ku,35.71453,139.7895,Shared room,1,1,2020-01-08,0.27,227,8036
2676,"new, clean, wifi, early check in, quiet, certified",201928149,Kita Ku,35.76509,139.74209,Private room,2,9,2019-04-08,0.18,7,3938
2677,[Y203] OPEN SALE★BEST LOCATION★ASAKUSA 2 mins★,274026012,Taito Ku,35.71702,139.79709,Entire home/apt,1,0,,,0,9983
2678,#302 Walk to Skytree! Cozy Apt 1 BR for 2ppl,64921269,Sumida Ku,35.72198,139.82324,Entire home/apt,2,1,2020-02-26,0.48,181,8316
2679,IMPREST STAY#2B-8min from Haneda airport-70m2 2LDK,269684336,Ota Ku,35.55436,139.73071000000002,Entire home/apt,2,0,,,59,19965
2680,3mins->Otorii Sta./Triple Room/NoSmoke+breakfast,28674531,Ota Ku,35.55348,139.74275,Private room,1,0,,,88,25985
2681,4mins Sta in Ueno Area Free wifi 4ppl,58103809,Taito Ku,35.70766,139.77856,Entire home/apt,13,0,,,123,39900
2682,Asakusa Sika Hotel 浅草･鹿酒店 和洋室,37312047,Taito Ku,35.71781,139.79218999999998,Private room,1,0,,,153,13284
